Company Name,Role,Base,CTC
Rubrik,,,145
Atlassian,Software Engineer,,85
Apple,Software Development Intern (IS&T),16,65
Apple,Software Development Intern (Ops),16,65
Apple,Data Science and ML Intern (Ops),16,65
Apple,Software Development Intern (Wireless),16,65
Apple,Software Engineering ML Intern (AppleCare),16,65
Rubrik,,,60
Zomato,Software Development Engineer - 1,24,56
CRED,,,55
D. E. Shaw,Software Development Engineer in Test,18,52
Google,,,52
Microsoft Inc.,,,51
Meesho,Data Scientist - 1,22,50
Amazon,,,42
Palo Alto Networks,Software Engineer,14,41.96
Palo Alto Networks,Business Systems Analyst,14,41.96
Visa,Software Engineer,16.57,41.64
Eightfold.ai,Product Solutions Expert - 1,16.38,37.53
Trilogy Innovations,Software Development Engineer Intern,30,36.5
InMobi,Software Development Engineer - 1,22,35
BitGo,Software Engineer,15,35
Meesho,Software Development Engineer,20,34
Paypal,Software Engineer Intern,15,34
Paypal,Data Science Intern,15,34
Phonepe,,,33.57
Palo Alto,,,33.33
Commvault,Software Development Engineer,16,33
Cleartrip,Software Development Engineer - 1,18,32.57
Flipkart,Software Development Engineer - 1,18,32.57
PhonePe,Software Engineer,19.5,32.5
Expedia Group,Software Development Engineer - 1,15,32
Vyapar App,Software Engineer - 1,15,30
Arista Networks,Software Engineer,15.9,29.5
Arista Networks,Software Engineer Intern,15.9,29.5
Arista,,,29.5
Morgan Stanley,Technology Analyst Intern,13,29.48
Okta,Software Engineer,13.75,27.95
Couchbase,Dev,20,27.15
Couchbase,QE,20,27.15
Couchbase,Support,20,27.15
Coinbase,Software Development Engineer - 1,16.05,26.75
Amazon,AWS Cloud Support Associate,10.46,26.35
Samsung Semiconductors,Software Engineer (Embedded),19,25.85
Wokelo,Data Scientist,15,25
SAP Labs,Dev,10,25
SAP Labs,DevOps,10,25
SAP Labs,Support,10,25
SAP Labs,QA,10,25
HackerRank,Software Development Engineer - 1,,25
CoinSwitch,,,24
Wayfair,,,24
Renesas,Analog Engineer,15,23.1
Renesas,Validation Engineer,15,23.1
Renesas,Digital Design Engineer,15,23.1
Renesas,Test Engineer,15,23.1
Tesco,Graduate Engineer,18,23
Cloudera,Software Engineer - 1,17,23
NXP Semiconductors,Software Engineer,15.5,23
DealShare,Software Development Engineer,13,23
Truva,Software Engineer,13,23
StockX,Associate Software Engineer,20,22.6
Walmart,Software Development Engineer - 2,16.88,22.6
Komprise,Software Engineer,17.41,22
Urban Company,Software Development Engineer - 1,16,22
Singularity Dynamics,Software Development Engineer,13,22
MakeMyTrip,Software Engineer,12,22
Cadence Design Systems,,,22
Serko,Software Engineer,,21.28
CBX1,Software Engineer,17,21
Meesho,Business Analyst,13,21
Deutsche Bank,Graduate Analyst,,20.2
Typeface,Software Engineer,16,20
Komprise,Software Test Engineer,15.54,20
Multiplier,Associate Software Engineer,15,20
Vyapar App,Software Engineer - 1,12,20
F5 ,Software Engineer Intern,,20
NetApp,Software Engineer (Cloud),,20
